timestamp,open_price,close_price,high_price,low_price,trading_volume,asset_symbol,market_sentiment
2023-06-17 17:28:11.819955,391.7260613052105,190.25045672738887,550.0498148182701,90.9028689885024,7643,AAPL,Bearish
2023-06-18 17:28:11.819955,452.37597402699856,244.5173163876008,541.6936712963912,98.04081859909223,7638,AAPL,Bearish
2023-06-19 17:28:11.819955,240.59312625379104,268.601468447065,583.7751158914953,92.18378253391828,7533,GOOGL,Bearish
2023-06-20 17:28:11.819955,178.69718420207383,269.5777566102895,586.9935990404801,52.6897147730089,8778,AAPL,Bearish
2023-06-21 17:28:11.819955,470.263659315601,376.1333827524062,540.4731784113619,87.10664986340444,3920,TSLA,Bearish
2023-06-22 17:28:11.819955,261.3774248520273,154.7916632101169,541.5560112753687,93.48274845451579,1513,GOOGL,Bearish
2023-06-23 17:28:11.819955,349.12106044832876,431.347608743616,575.9097625037803,62.4477057162249,5052,TSLA,Bearish
2023-06-24 17:28:11.819955,377.32898197796476,250.84425874639214,584.1763932249283,89.68956239719105,2899,AMZN,Bullish
2023-06-25 17:28:11.819955,265.76633579312363,216.59297756815548,569.1980739726503,56.96216701908847,1085,AAPL,Bearish
2023-06-26 17:28:11.819955,238.1246229303907,235.16642191574982,585.419014337476,87.52861750174648,6442,AMZN,Bearish
2023-06-27 17:28:11.819955,491.55672615900124,381.5394064149204,584.593464773428,59.895406692931445,1208,TSLA,Bullish
2023-06-28 17:28:11.819955,117.4549569589418,454.19533325785324,509.97540587015203,99.8803995776534,8699,TSLA,Bullish
2023-06-29 17:28:11.819955,234.61149699307418,462.45558164250815,564.7498352793339,97.72214384315865,3393,TSLA,Bearish
2023-06-30 17:28:11.819955,165.67006049232907,211.87605440877996,557.7364762068732,97.77905268729941,7710,AAPL,Bearish
2023-07-01 17:28:11.819955,270.7853487449563,354.6316640080119,598.0349153741472,67.15526241039649,8883,AMZN,Bullish
2023-07-02 17:28:11.819955,233.51960461378943,212.5968386524821,523.0095080051692,68.51391286606328,1421,AAPL,Bearish
2023-07-03 17:28:11.819955,476.34248599092996,412.1322824925043,597.9563224005426,52.654031371976586,5411,TSLA,Bearish
2023-07-04 17:28:11.819955,110.11072880512901,371.047547216158,556.317270589253,87.32539078203179,9085,GOOGL,Bullish
2023-07-05 17:28:11.819955,495.8550469220612,391.1505338306667,534.3654214354472,87.37608534320307,7699,AAPL,Bearish
2023-07-06 17:28:11.819955,145.41440931499943,194.9655497063241,571.4433897887619,83.49524401715246,4316,GOOGL,Bullish
2023-07-07 17:28:11.819955,109.98981185038824,471.65451272892506,520.9948108453058,78.849283699614,3469,AMZN,Bearish
2023-07-08 17:28:11.819955,370.1981761703626,177.23382115053275,599.6400136788296,79.41105958292616,7524,TSLA,Bearish
2023-07-09 17:28:11.819955,268.6599072508001,431.5280576700384,595.1707185929371,76.3577163870697,1296,AAPL,Bearish
2023-07-10 17:28:11.819955,173.92362546175605,475.32177988747975,509.30244541680923,78.90825638002889,4758,AAPL,Bearish
2023-07-11 17:28:11.819955,169.84995525899174,134.06583504008384,522.1347163710365,96.80320456025567,4837,TSLA,Bullish
2023-07-12 17:28:11.819955,380.84873318330096,353.19289999888497,555.2122811491488,85.38751950989297,8269,AMZN,Bullish
2023-07-13 17:28:11.819955,304.81623939702064,205.601502236493,511.4977418361458,59.43670059311867,9335,AMZN,Bearish
2023-07-14 17:28:11.819955,429.69389121535164,497.1314469876996,503.3921035212338,90.06625334634604,9194,AMZN,Bearish
2023-07-15 17:28:11.819955,261.07930030567525,116.4152024939495,513.9115752741121,98.84324997306976,7903,GOOGL,Bearish
2023-07-16 17:28:11.819955,175.01907295791526,132.46694685002277,537.9472323273511,56.30359712881676,3284,AMZN,Bearish
2023-07-17 17:28:11.819955,357.11258889051896,437.6978952761124,578.4868892161419,61.64641610453122,5749,AAPL,Bearish
2023-07-18 17:28:11.819955,384.2205140275058,262.951185065107,539.9358088080419,78.83992504217628,4005,GOOGL,Bullish
2023-07-19 17:28:11.819955,262.4632372479065,174.24379495007514,570.939399248324,63.529955191817564,1131,TSLA,Bearish
2023-07-20 17:28:11.819955,443.1795975294869,175.6331786513793,503.8731530564266,57.0601761967881,2196,AAPL,Bearish
2023-07-21 17:28:11.819955,252.01629222275866,337.7625289784826,518.4578936578608,71.38392335915142,7613,AMZN,Bearish
2023-07-22 17:28:11.819955,113.72388265949374,187.65948739444542,534.5202267916281,69.08817149235236,4129,TSLA,Bearish
2023-07-23 17:28:11.819955,261.3255077838185,353.144659787217,571.2126843746181,98.07136572913558,2993,GOOGL,Bearish
